"Código Ruta","Nombre Ruta","Nombre Fraccionamiento","Km por Viaje (Promedio)","Tarifa Regular (¢)","Tarifa Adulto Mayor (¢)","Resolución","Fecha de Resolución","Gaceta","Alcance","Fecha de la Gaceta","Fecha Vigencia","Expediente (Requisito de Admisibilidad)","Operadores"
"I-1","DESAMPARADOS-MORAVIA
","DESAMPARADOS-MORAVIA","13.15","335.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-002/RA-003/RA-095/RA-098","AUTOTRANSPORTES CESMAG, S.A./AUTOTRANSPORTES DESAMPARADOS, S.A./AUTOTRANSPORTES MORAVIA, S.A./AUTOTRANSPORTES SAN ANTONIO, S.A."
"I-4","URUCA - GUADALUPE 
","URUCA - GUADALUPE ","11.30","350.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-024/RA-080/RA-090","BUSES INA-URUCA, S.A./COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)/GUADALUPE, LIMITADA"
"I-5","URUCA-ESCAZU
","URUCA-ESCAZU","9.25","425.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-080","BUSES INA-URUCA, S.A."
"I-3","SANTA ANA - SAN ANTONIO DE BELEN - LA VALENCIA","SANTA ANA - SAN ANTONIO DE BELEN - LA VALENCIA","13.15","320.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-037/RA-073/RA-147/RA-155","AUTOBUSES BARRANTES ARAYA, S.A./COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A./TRANSPORTES FERNANDO ZUÑIGA E HIJOS, S.A./TRANSPORTES UNIDOS LA CUATROCIENTOS, S.A."
"I-6","ESCAZU - ALAJUELITA - HATILLO
","ESCAZU - ALAJUELITA - HATILLO","13.15","415.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-053/RA-073/RA-086","COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A./METROCOOP, R.L./TRANSPORTES DOSCIENTOS CINCO, S.A"
"I-2","GUADALUPE - MORAVIA - LA VALENCIA
","GUADALUPE - MORAVIA - LA VALENCIA","13.15","335.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-002/RA-024/RA-090","AUTOTRANSPORTES MORAVIA, S.A./COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)/GUADALUPE, LIMITADA"
"16","SAN JOSÉ-BARRIO ESCALANTE-LA U Y VICEVERSA; SAN JOSÉ-BARRIO MÉXICO Y VICEVERSA; SAN JOSÉ-BARRIO LA CRUZ-SAN CAYETANO Y VICEVERSA; Y SAN JOSÉ-BARRIO LA CRUZ-SEMINARIO-BARRIO EL CARMEN Y VICEVERSA.","SAN JOSE-BARRIO MEXICO Y VICEVERSA","8.79","240.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-059","LARED, LIMITADA"
"16","SAN JOSÉ-BARRIO ESCALANTE-LA U Y VICEVERSA; SAN JOSÉ-BARRIO MÉXICO Y VICEVERSA; SAN JOSÉ-BARRIO LA CRUZ-SAN CAYETANO Y VICEVERSA; Y SAN JOSÉ-BARRIO LA CRUZ-SEMINARIO-BARRIO EL CARMEN Y VICEVERSA.","SAN JOSE-BARRIO LA CRUZ-SEMINARIO Y VICEVERSA","11.29","335.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-059","LARED, LIMITADA"
"16","SAN JOSÉ-BARRIO ESCALANTE-LA U Y VICEVERSA; SAN JOSÉ-BARRIO MÉXICO Y VICEVERSA; SAN JOSÉ-BARRIO LA CRUZ-SAN CAYETANO Y VICEVERSA; Y SAN JOSÉ-BARRIO LA CRUZ-SEMINARIO-BARRIO EL CARMEN Y VICEVERSA.","SAN JOSE-BARRIO LA CRUZ-SAN CAYETANO-BARRIO EL CARMEN Y VICEVERSA","8.30","335.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-059","LARED, LIMITADA"
"02","SAN JOSE-SABANA-CEMENTERIO-BARRIO LA PITAHAYA
","SAN JOSE-SABANA-CEMENTERIO","6.73","230.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-100","AUTOTRANSPORTES SABANA CEMENTERIO, S.A."
"02","SAN JOSE-SABANA-CEMENTERIO-BARRIO LA PITAHAYA
","SAN JOSE-Bº LA PITAHAYA","7.23","230.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-100","AUTOTRANSPORTES SABANA CEMENTERIO, S.A."
"03","SAN JOSE-Bº CRISTO REY-Bº CUBA","SAN JOSE-Bº CRISTO REY-Bº CUBA","2.95","305.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-099","TRANSMASOMA, S.A."
"16","SAN JOSÉ-BARRIO ESCALANTE-LA U Y VICEVERSA; SAN JOSÉ-BARRIO MÉXICO Y VICEVERSA; SAN JOSÉ-BARRIO LA CRUZ-SAN CAYETANO Y VICEVERSA; Y SAN JOSÉ-BARRIO LA CRUZ-SEMINARIO-BARRIO EL CARMEN Y VICEVERSA.","SAN JOSE-Bº ESCALANTE-UNIVERSIDAD","6.18","465.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-059","LARED, LIMITADA"
"06","SAN JOSE-Bº LUJAN","SAN JOSE-Bº LUJAN","3.85","325.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-069","Operador de Rutas No asignadas"
"61","SAN JOSE-TIRRASES POR CURRIDABAT","SAN JOSE-CURRIDABAT-Bº LA LIA-EXT LOMAS DEL SOL","9.85","545.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-069","AUTOTRANSPORTES RARO, S.A."
"61","SAN JOSE-TIRRASES POR CURRIDABAT","SAN JOSE-TIRRASES POR CURRIDABAT","9.55","545.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-069","AUTOTRANSPORTES RARO, S.A."
"07","SAN JOSE-CEMENTERIO-SABANA, SAN JOSE-SABANA-ESTADIO
","SAN JOSE-CEMENTERIO-SABANA","6.82","300.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-070","TRANSCESA, S.A."
"07","SAN JOSE-CEMENTERIO-SABANA, SAN JOSE-SABANA-ESTADIO
","SAN JOSE-SABANA-ESTADIO","10.30","300.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-070","TRANSCESA, S.A."
"08","SAN JOSE-RUTA PERIFERICA","SAN JOSE-RUTA PERIFERICA","11.67","325.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-003/RA-053/RA-070/RA-090/RA-100","AUTOTRANSPORTES CESMAG, S.A./AUTOTRANSPORTES SABANA CEMENTERIO, S.A./GUADALUPE, LIMITADA/METROCOOP, R.L./TRANSCESA, S.A."
"09","SAN JOSE-ESCAZÚ-BELLO HORIZONTE-SAN ANTONIO-SANTA ANA Y RAMALES","SAN JOSE-SAN ANTONIO DE ESCAZU","10.80","605.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-073","COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A."
"09","SAN JOSE-ESCAZÚ-BELLO HORIZONTE-SAN ANTONIO-SANTA ANA Y RAMALES","SAN JOSE-ESCAZU-BARRIO EL CARMEN","10.82","605.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-073","COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A."
"09","SAN JOSE-ESCAZÚ-BELLO HORIZONTE-SAN ANTONIO-SANTA ANA Y RAMALES","SAN JOSE-ESCAZU-CALLE EL CURIO","12.40","605.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-073","COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A."
"09","SAN JOSE-ESCAZÚ-BELLO HORIZONTE-SAN ANTONIO-SANTA ANA Y RAMALES","SAN JOSE-ESCAZU CENTRO","8.43","470.00","0.00","RE-0010-IT-2024","22-02-2024","37","40","27-02-2024","28-02-2024","RA-073","COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A."
