"Nombre Operador","Cédula","Código Ruta","Descripción Ruta","Código Ramal","Descripción Ramal","Mes","Año","pasajeroEquivalente","pasajerosTotal","Pasajeros Adulto Mayor","Pasajeros Regulares","Carreras","Ingresos"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0581","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","4","2024","","","268","5527","112","6687500"
"ALGONZA, S.A.","3-101-096643","542","NICOYA-NANDAYURE","R1417","NICOYA-NANDAYURE","4","2024","","","375","3459","78","2731100"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0573","ALAJUELA-BARRIO FATIMA","4","2024","","","522","3472","422.5","1302000"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0915","ALAJUELA-EL LLANO-BRASIL-BRASILIA-SEGURO SOCIAL (ANILLO)","4","2024","","","8087","24713","1251","8896680"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2300","ALAJUELA-TARGUASES-ERIZO","4","2024","","","5755","41084","1400","15406500"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2301","ALAJUELA-URB. LA GIRALDA","4","2024","","","5744","40202","1400","15075750"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2302","ALAJUELA-HOSPITAL NUEVO (ANILLO)","4","2024","","","3720","10971","455","3949560"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0567","ALAJUELA-SANTA BARBARA-LOS ROSALES","4","2024","","","1058","10643","358","4310415"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0568","ALAJUELA-SANTA BARBARA-LA CLAUDIA","4","2024","","","1887","32054","875.5","12981870"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0569","ALAJUELA-SANTA BARBARA","4","2024","","","12414","140160","2632.5","56764800"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0570","ALAJUELA-SANTA BARBARA-SILVIA EUGENIA","4","2024","","","477","459","277.5","172125"
"ASOCIACIÓN DE DESARROLLO DE SAN JUAN DE BARBACOAS DE PURISCAL","3-002-051021","148 A","SANTIAGO DE PURISCAL - SAN JUAN","R0459","SAN JUAN-PURISCAL","4","2024","","","790","9624","289","4369185"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","105","SANTA ANA - SAN ANTONIO DE BELEN","R1202","SANTA ANA - SAN ANTONIO DE BELEN","4","2024","","","1478","54799","903.5","24933545"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1196","HEREDIA-SAN RAFAEL DE ALAJUELA","4","2024","","","2436","54947","413","17308305"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1197","HEREDIA-SAN ANTONIO DE BELEN","4","2024","","","3700","74072","824","23332680"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1199","HEREDIA-LA AURORA","4","2024","","","2272","39332","747","12389580"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R2041","HEREDIA-OJO DE AGUA","4","2024","","","44","633","9","199395"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R2043","HEREDIA-ESCOBAL","4","2024","","","1562","34505","305","10869075"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R2429","HEREDIA-IMAS-URB. LA CUMBRE","4","2024","","","1516","14217","356","4478355"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","I-3","SANTA ANA - SAN ANTONIO DE BELEN - LA VALENCIA","R0005","SANTA ANA-SAN ANTONIO DE BELEN-LA VALENCIA","4","2024","","","45","2457","31.5","786240"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0894","CIUDAS QUESADA-LOS CHILES-FRONTERA NORTE","4","2024","","","3777","79451","645","155029380"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0895","CIUDAD QUESADA-EL AMPARO","4","2024","","","117","1744","26","4386160"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0896","CIUDAD QUESADA-SANTA ROSA-EL CONCHO-POCOSOL-LLANO VERDE-RIO SAN JUAN","4","2024","","","139","2029","30","3185480"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0903","CIUDAD QUESADA-SAN JORGE","4","2024","","","106","1479","22","1627495"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R2185","CIUDAD QUESADA-SANTA ROSA","4","2024","","","414","7362","102","9939430"
"AUTOBUSES DE TILARAN, S.A.","3-101-651206","508","TILARAN-PUNTARENAS","R1403","TILARAN-PUNTARENAS","4","2024","","","316","1093","25","2776150"
"AUTOBUSES DE TILARAN, S.A.","3-101-651206","555","TILARAN-CAÑAS","R1404","TILARAN-CAÑAS","4","2024","","","1640","23398","448","12985890"
"AUTOBUSES ROMERO, S.A.","3-101-109324","334","CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA","R1086","CARTAGO-DULCE NOMBRE","4","2024","","","2152","28858","1450","8657400"
"AUTOBUSES ROMERO, S.A.","3-101-109324","334","CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA","R1087","CARTAGO-BLANQUILLO","4","2024","","","349","6010","150","1803000"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0364","CORONADO-SAN RAFAEL Y VICEVERSA","4","2024","","","2454","19179","697","6233175"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0387","CORONADO-SAN ANTONIO Y VICEVERSA","4","2024","","","2602","9206","432","2991950"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0431","SAN JOSE-CORONADO POR CALLE BLANCOS Y POR HOSPITAL CALDERON GUARDIA Y VICEVERSA","4","2024","","","33883","227783","2764","85418625"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0432","CORONADO-SAN PEDRO Y VICEVERSA","4","2024","","","4526","28094","800","9130550"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0433","CORONADO-SAN FRANCISCO Y VICEVERSA","4","2024","","","2548","10237","609","3327025"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0434","CORONADO-DULCE NOMBRE Y VICEVERSA","4","2024","","","2013","8182","412","2659150"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0436","PERIFERICA CORONADO","4","2024","","","3905","9437","345","3161395"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0437","CORONADO-EL RODEO Y VICEVERSA","4","2024","","","1675","12637","556","4107025"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0438","CORONADO-LAS NUBES-CASCAJAL Y VICEVERSA","4","2024","","","2312","35620","628","13357500"
