"Nombre Operador","Cédula","Código Ruta","Descripción Ruta","Código Ramal","Descripción Ramal","Mes","Año","pasajeroEquivalente","pasajerosTotal","Pasajeros Adulto Mayor","Pasajeros Regulares","Carreras","Ingresos"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0581","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","7","2024","","","276","5885","116","7117560"
"ALGONZA, S.A.","3-101-096643","542","NICOYA-NANDAYURE","R1417","NICOYA-NANDAYURE","7","2024","","","350","4454","80","2788000"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0573","ALAJUELA-BARRIO FATIMA","7","2024","","","548","3147","438.5","1180125"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0915","ALAJUELA-EL LLANO-BRASIL-BRASILIA-SEGURO SOCIAL (ANILLO)","7","2024","","","8533","22652","1299","8154720"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2300","ALAJUELA-TARGUASES-ERIZO","7","2024","","","6112","37303","1450","13988625"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2301","ALAJUELA-URB. LA GIRALDA","7","2024","","","5950","36901","1450","13837875"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2302","ALAJUELA-HOSPITAL NUEVO (ANILLO)","7","2024","","","3887","10087","475","3631320"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0567","ALAJUELA-SANTA BARBARA-LOS ROSALES","7","2024","","","1145","9705","371.5","3930525"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0568","ALAJUELA-SANTA BARBARA-LA CLAUDIA","7","2024","","","2088","29300","908","11866500"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0569","ALAJUELA-SANTA BARBARA","7","2024","","","13398","128537","2724.5","52057485"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0570","ALAJUELA-SANTA BARBARA-SILVIA EUGENIA","7","2024","","","464","552","289","223560"
"ASOCIACIÓN DE DESARROLLO DE SAN JUAN DE BARBACOAS DE PURISCAL","3-002-051021","148 A","SANTIAGO DE PURISCAL - SAN JUAN","R0459","SAN JUAN-PURISCAL","7","2024","","","870","8843","281","4126640"
