"Nombre Operador","Cédula","Código Ruta","Descripción Ruta","Código Ramal","Descripción Ramal","Mes","Año","pasajeroEquivalente","pasajerosTotal","Pasajeros Adulto Mayor","Pasajeros Regulares","Carreras","Ingresos"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0581","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","6","2024","","","280","5818","110","7039325"
"ALGONZA, S.A.","3-101-096643","542","NICOYA-NANDAYURE","R1417","NICOYA-NANDAYURE","6","2024","","","321","3322","75","2657000"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0573","ALAJUELA-BARRIO FATIMA","6","2024","","","466","3350","422.5","1256250"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0915","ALAJUELA-EL LLANO-BRASIL-BRASILIA-SEGURO SOCIAL (ANILLO)","6","2024","","","8667","23664","1242.5","8519040"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2300","ALAJUELA-TARGUASES-ERIZO","6","2024","","","5967","39274","1400","14727750"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2301","ALAJUELA-URB. LA GIRALDA","6","2024","","","5986","38377","1400","14391375"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2302","ALAJUELA-HOSPITAL NUEVO (ANILLO)","6","2024","","","3628","10552","440","3798720"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0567","ALAJUELA-SANTA BARBARA-LOS ROSALES","6","2024","","","1168","10130","357.5","4102650"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0568","ALAJUELA-SANTA BARBARA-LA CLAUDIA","6","2024","","","1818","30552","875","12373560"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0569","ALAJUELA-SANTA BARBARA","6","2024","","","13162","133931","2632.5","54242055"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0570","ALAJUELA-SANTA BARBARA-SILVIA EUGENIA","6","2024","","","825","440","275","178200"
"ASOCIACIÓN DE DESARROLLO DE SAN JUAN DE BARBACOAS DE PURISCAL","3-002-051021","148 A","SANTIAGO DE PURISCAL - SAN JUAN","R0459","SAN JUAN-PURISCAL","6","2024","","","775","9275","274","4220820"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","105","SANTA ANA - SAN ANTONIO DE BELEN","R1202","SANTA ANA - SAN ANTONIO DE BELEN","6","2024","","","1035","54515","885","24804325"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1196","HEREDIA-SAN RAFAEL DE ALAJUELA","6","2024","","","1610","41095","299.5","12944925"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1197","HEREDIA-SAN ANTONIO DE BELEN","6","2024","","","2302","50255","574","15830325"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1199","HEREDIA-LA AURORA","6","2024","","","1652","27424","540","8638560"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R2041","HEREDIA-OJO DE AGUA","6","2024","","","67","530","7","166950"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R2043","HEREDIA-ESCOBAL","6","2024","","","1038","25461","234.5","8020215"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R2429","HEREDIA-IMAS-URB. LA CUMBRE","6","2024","","","1155","11762","281","3705030"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","I-3","SANTA ANA - SAN ANTONIO DE BELEN - LA VALENCIA","R0005","SANTA ANA-SAN ANTONIO DE BELEN-LA VALENCIA","6","2024","","","8","2232","26","714240"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0894","CIUDAS QUESADA-LOS CHILES-FRONTERA NORTE","6","2024","","","3000","80482","660","156941545"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0895","CIUDAD QUESADA-EL AMPARO","6","2024","","","110","1736","25","4366040"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0896","CIUDAD QUESADA-SANTA ROSA-EL CONCHO-POCOSOL-LLANO VERDE-RIO SAN JUAN","6","2024","","","134","2046","30","3212150"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0903","CIUDAD QUESADA-SAN JORGE","6","2024","","","93","1392","20","1531550"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R2185","CIUDAD QUESADA-SANTA ROSA","6","2024","","","351","7267","97.5","9811410"
"AUTOBUSES DE TILARAN, S.A.","3-101-651206","508","TILARAN-PUNTARENAS","R1403","TILARAN-PUNTARENAS","6","2024","","","322","1106","25","2842295"
"AUTOBUSES DE TILARAN, S.A.","3-101-651206","555","TILARAN-CAÑAS","R1404","TILARAN-CAÑAS","6","2024","","","1647","23523","440","13055265"
"AUTOBUSES ROMERO, S.A.","3-101-109324","334","CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA","R1086","CARTAGO-DULCE NOMBRE","6","2024","","","2152","28663","1450","8598900"
"AUTOBUSES ROMERO, S.A.","3-101-109324","334","CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA","R1087","CARTAGO-BLANQUILLO","6","2024","","","349","5973","150","1791900"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0364","CORONADO-SAN RAFAEL Y VICEVERSA","6","2024","","","2332","18822","688","6587700"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0387","CORONADO-SAN ANTONIO Y VICEVERSA","6","2024","","","2496","8416","430","2945600"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0431","SAN JOSE-CORONADO POR CALLE BLANCOS Y POR HOSPITAL CALDERON GUARDIA Y VICEVERSA","6","2024","","","32003","214099","2719","87780590"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0432","CORONADO-SAN PEDRO Y VICEVERSA","6","2024","","","4613","25212","800","8824200"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0433","CORONADO-SAN FRANCISCO Y VICEVERSA","6","2024","","","2428","10139","606","3548650"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0434","CORONADO-DULCE NOMBRE Y VICEVERSA","6","2024","","","2085","7997","410","2798950"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0436","PERIFERICA CORONADO","6","2024","","","4257","8817","340","3174120"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0437","CORONADO-EL RODEO Y VICEVERSA","6","2024","","","1688","12323","556","4313050"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0438","CORONADO-LAS NUBES-CASCAJAL Y VICEVERSA","6","2024","","","2063","31849","612","13058090"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R1995","PERIFERICA IPIS","6","2024","","","3809","9455","330","3403800"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R1996","CORONADO-LA COLMENA Y VICEVERSA","6","2024","","","860","6730","260","2355500"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R2472","CORONADO-PATIO DE AGUA-CALLE LA MAQUINA Y VICEVERSA","6","2024","","","2415","15298","598","5354300"
"AUTOLASSA, S.A.","3-101-124430","651","PALMAR NORTE-FINCAS-SIERPE DE OSA","R1631","PALMAR NORTE Y SUR-SIERPE DE OSA Y VICEVERSA","6","2024","","","1816","13192","129","1649000"
"AUTOLASSA, S.A.","3-101-124430","651","PALMAR NORTE-FINCAS-SIERPE DE OSA","R2111","PALMAR NORTE Y SUR-FINCA N°7 Y VICEVERSA","6","2024","","","889","6876","90","550080"
"AUTOTRANSPORTES ADONAY LOS CHILES-UPALA, S.A.","3-101-497134","1244","UPALA-COLONIA-PUNTARENAS-SANTA ROSA-SANJORGE-VERACRUZ-CAÑO NEGRO CON EXT. SAN LUIS Y LOS CHILES FRONTERA NORTE Y VICEVERSA","R0923","UPALA-COLONIA PUNTARENAS-SANTA ROSA-SAN JORGE-VERACRUZ-CAÑO NEGRO- EXT. SAN LUIS Y LOS CHILES-FRONTERA NORTE","6","2024","","","236","4409","80","6812255"
"AUTOTRANSPORTES BLANCO LOBO, S.A.","3-101-094405","699 BS","SAN JOSE-PUERTO JIMENEZ","R1709","SAN JOSE-PUERTO JIMENEZ","6","2024","","","164","1502","30","14060110"
"AUTOTRANSPORTES BLANCO LOBO, S.A.","3-101-094405","699 BS","SAN JOSE-PUERTO JIMENEZ","R1710","SAN ISIDRO DE EL GENERAL-PUERTO JIMENEZ","6","2024","","","281","2068","30","5822560"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R0642","ALAJUELA-RINCON VENEGAS-BELEN","6","2024","","","11586","119828","1024.5","47931200"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R0643","ALAJUELA-REFORMA-BELEN","6","2024","","","4911","14752","675","5900800"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R0644","ALAJUELA-BALNEARIO OJO DE AGUA-SAN ANTONIO DE BELEN","6","2024","","","1608","73976","680.5","29590400"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R0646","ALAJUELA-URB. LA PAZ-BELEN","6","2024","","","63","13823","568.5","5529200"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R2303","ALAJUELA-CALLE MONGE-BELEN","6","2024","","","","10515","111","4206000"
"AUTOTRANSPORTES CARIBEÑOS S.A.","3-101-028668","703","SAN JOSE-LIMON (SERVICIO REGULAR Y DIRECTO)","R1755","SAN JOSE-LIMON","6","2024","","","1292","33891","510","132517335"
"AUTOTRANSPORTES CARIBEÑOS S.A.","3-101-028668","703","SAN JOSE-LIMON (SERVICIO REGULAR Y DIRECTO)","R1756","SAN JOSE-LIMON x TURRIALBA (CASOS DE EMERGENCIA)","6","2024","","","49","1286","20","5720875"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R1606","SAN VITO-LAS MELLIZAS Y VICEVERSA","6","2024","","","889","4899","120","4424935"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R1608","SAN VITO-CIUDAD NEILY POR LINDA VISTA","6","2024","","","1927","10361","180","11949760"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R1611","SAN VITO-CAÑAS GORDAS-VILLA ROMA","6","2024","","","895","2373","55","1351440"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R1612","SAN VITO-LOS REYES-LA MARAVILLA Y VICEVERSA","6","2024","","","497","2072","60","932710"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R2096","SAN VITO-AGUA BUENA-COPA BUENA","6","2024","","","623","2952","100","1462605"
