"Nombre Operador","Cédula","Código Ruta","Descripción Ruta","Código Ramal","Descripción Ramal","Mes","Año","pasajeroEquivalente","pasajerosTotal","Pasajeros Adulto Mayor","Pasajeros Regulares","Carreras","Ingresos"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0581","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","3","2024","","","264","5755","108","6959000"
"ALGONZA, S.A.","3-101-096643","542","NICOYA-NANDAYURE","R1417","NICOYA-NANDAYURE","3","2024","","","354","3570","75","2819700"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0573","ALAJUELA-BARRIO FATIMA","3","2024","","","374","3298","415.5","1236750"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0915","ALAJUELA-EL LLANO-BRASIL-BRASILIA-SEGURO SOCIAL (ANILLO)","3","2024","","","8396","23450","1203","8442000"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2300","ALAJUELA-TARGUASES-ERIZO","3","2024","","","5931","38980","1410","14617500"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2301","ALAJUELA-URB. LA GIRALDA","3","2024","","","6019","38130","1410","14298750"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2302","ALAJUELA-HOSPITAL NUEVO (ANILLO)","3","2024","","","3222","10425","381","3753000"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0567","ALAJUELA-SANTA BARBARA-LOS ROSALES","3","2024","","","1146","10079","351.5","4081995"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0568","ALAJUELA-SANTA BARBARA-LA CLAUDIA","3","2024","","","1736","30364","867","12297420"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0569","ALAJUELA-SANTA BARBARA","3","2024","","","12729","132998","2673.5","53864190"
