"Nombre Operador","Cédula","Código Ruta","Descripción Ruta","Código Ramal","Descripción Ramal","Mes","Año","pasajeroEquivalente","pasajerosTotal","Pasajeros Adulto Mayor","Pasajeros Regulares","Carreras","Ingresos"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0581","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","5","2024","","","263","5711","116","6907265"
"ALGONZA, S.A.","3-101-096643","542","NICOYA-NANDAYURE","R1417","NICOYA-NANDAYURE","5","2024","","","335","3554","81","2709900"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0573","ALAJUELA-BARRIO FATIMA","5","2024","","","438","3629","438.5","1306440"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0915","ALAJUELA-EL LLANO-BRASIL-BRASILIA-SEGURO SOCIAL (ANILLO)","5","2024","","","8990","25778","1299","9280080"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2300","ALAJUELA-TARGUASES-ERIZO","5","2024","","","6105","42585","1450","15969375"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2301","ALAJUELA-URB. LA GIRALDA","5","2024","","","6186","41722","1450","15019920"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2302","ALAJUELA-HOSPITAL NUEVO (ANILLO)","5","2024","","","3824","11443","475","4119480"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0567","ALAJUELA-SANTA BARBARA-LOS ROSALES","5","2024","","","1291","11020","371.5","4463100"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0568","ALAJUELA-SANTA BARBARA-LA CLAUDIA","5","2024","","","1846","33023","908","13374315"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0569","ALAJUELA-SANTA BARBARA","5","2024","","","13757","144589","2724.5","58558545"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-SANTA BARBARA Y VICEVERSA","R0570","ALAJUELA-SANTA BARBARA-SILVIA EUGENIA","5","2024","","","394","521","289","211005"
"ASOCIACIÓN DE DESARROLLO DE SAN JUAN DE BARBACOAS DE PURISCAL","3-002-051021","148 A","SANTIAGO DE PURISCAL - SAN JUAN","R0459","SAN JUAN-PURISCAL","5","2024","","","773","9640","291","4456485"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","105","SANTA ANA - SAN ANTONIO DE BELEN","R1202","SANTA ANA - SAN ANTONIO DE BELEN","5","2024","","","1225","53079","901","24150945"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1196","HEREDIA-SAN RAFAEL DE ALAJUELA","5","2024","","","1690","46095","336","14519925"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1197","HEREDIA-SAN ANTONIO DE BELEN","5","2024","","","1856","58866","664.5","18542790"
