"Nombre Operador","Cédula","Código Ruta","Descripción Ruta","Código Ramal","Descripción Ramal","Mes","Año","pasajeroEquivalente","pasajerosTotal","Pasajeros Adulto Mayor","Pasajeros Regulares","Carreras","Ingresos"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0516","SAN JOSE-CIUDAD QUESADA REGULAR","11","2024","","","1610","33115","315","71704535"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0537","SAN JOSE-GUATUSO","11","2024","","","132","2337","30","7233455"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0545","SAN JOSE-PITAL","11","2024","","","112","2381","30","5857355"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0550","SAN JOSE-VENECIA-SAN MIGUEL","11","2024","","","147","2282","30","5671235"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0555","SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS)","11","2024","","","214","4426","60","14895400"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0581","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","11","2024","","","245","4226","56","5113155"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R2284","SAN JOSE-CIUDAD QUESADA DIRECTO","11","2024","","","1023","24891","297.5","68823615"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R2285","SAN JOSE-LA FORTUNA","11","2024","","","143","2192","30","8362480"
"ASOCIACIÓN DE DESARROLLO DE SAN JUAN DE BARBACOAS DE PURISCAL","3-002-051021","148 A","SANTIAGO DE PURISCAL - SAN JUAN","R0459","SAN JUAN-PURISCAL","11","2024","","","707","8607","261","3787075"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","105","SANTA ANA - SAN ANTONIO DE BELEN","R1202","SANTA ANA - SAN ANTONIO DE BELEN","11","2024","","","1916","54109","1215.5","24623865"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1196","HEREDIA-SAN RAFAEL DE ALAJUELA","11","2024","","","4470","50852","534.5","16017820"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1197","HEREDIA-SAN ANTONIO DE BELEN","11","2024","","","5133","62334","922.5","19648070"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R1199","HEREDIA-LA AURORA","11","2024","","","3095","37353","1146","11765605"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R2041","HEREDIA-OJO DE AGUA","11","2024","","","124","843","13","265375"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R2043","HEREDIA-ESCOBAL","11","2024","","","2869","30867","372.5","9718195"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","SAN RAFAEL-BALNEARIO DE OJO DE AGUA-SAN ANTONIO DE BELEN-CENADA-LA AURORA-IMAS-URBANIZACION LA CUMBRE-HEREDIA Y VICEVERSA","R2429","HEREDIA-IMAS-URB. LA CUMBRE","11","2024","","","1899","12468","566","3928735"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","I-3","SANTA ANA - SAN ANTONIO DE BELEN - LA VALENCIA","R0005","SANTA ANA-SAN ANTONIO DE BELEN-LA VALENCIA","11","2024","","","96","2735","45","875835"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0894","CIUDAS QUESADA-LOS CHILES-FRONTERA NORTE","11","2024","","","3714","76796","795","149750915"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0895","CIUDAD QUESADA-EL AMPARO","11","2024","","","103","1712","26","4280000"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0896","CIUDAD QUESADA-SANTA ROSA-EL CONCHO-POCOSOL-LLANO VERDE-RIO SAN JUAN","11","2024","","","119","1835","30","2880760"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0903","CIUDAD QUESADA-SAN JORGE","11","2024","","","84","1313","21","1443815"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R2185","CIUDAD QUESADA-SANTA ROSA","11","2024","","","462","7778","101.5","10499505"
